symbol,status,parquet,reasons
ALB_A,PASS,raw/Stock_parquet/ALB_A_1H.parquet,
ALC,FAIL,raw/Stock_parquet/ALC_1H.parquet,turnover_per_day too high: 1.0197047420315153 > 1.0
ALCY,PASS,raw/Stock_parquet/ALCY_1H.parquet,
ALF,FAIL,raw/Stock_parquet/ALF_1H.parquet,turnover_per_day too high: 4.958314552611299 > 1.0
ALFUW,PASS,raw/Stock_parquet/ALFUW_1H.parquet,
ALLE,FAIL,raw/Stock_parquet/ALLE_1H.parquet,sharpe too low: -0.051609879637937686 < 0.7;sortino too low: -0.035751941711418815 < 1.0;profit_factor too low: 0.9951800621616086 < 1.1;net_to_gross too low: -0.030591290433140912 < 0.6;avg_net_trade_return too low: -1.4440180563267416e-06 < 8e-05;turnover_per_day too high: 2.058082080667667 > 1.0;cost_stress_failed sharpe=-1.7881895131584398
ALL_B,FAIL,raw/Stock_parquet/ALL_B_1H.parquet,turnover_per_day too high: 3.6431425616686846 > 1.0
ALL_H,FAIL,raw/Stock_parquet/ALL_H_1H.parquet,net_to_gross too low: 0.49244367483690465 < 0.6;avg_net_trade_return too low: 4.993369357969422e-05 < 8e-05;turnover_per_day too high: 2.340059750348627 > 1.0;cost_stress_failed sharpe=-0.030143943227332385
ALL_I,FAIL,raw/Stock_parquet/ALL_I_1H.parquet,net_to_gross too low: 0.4509276528221216 < 0.6;avg_net_trade_return too low: 5.4874389830074014e-05 < 8e-05;turnover_per_day too high: 3.28230371231352 > 1.0;cost_stress_failed sharpe=-0.4230631675694538
ALL_J,FAIL,raw/Stock_parquet/ALL_J_1H.parquet,net_to_gross too low: 0.522940602533512 < 0.6;avg_net_trade_return too low: 7.53270097315763e-05 < 8e-05;turnover_per_day too high: 3.479207186155497 > 1.0;cost_stress_failed sharpe=0.21335291643748586
ALMU,PASS,raw/Stock_parquet/ALMU_1H.parquet,
ALRM,FAIL,raw/Stock_parquet/ALRM_1H.parquet,sortino too low: 0.8740956887246859 < 1.0;profit_factor too low: 1.0892593940442026 < 1.1;net_to_gross too low: 0.44531337902220325 < 0.6;avg_net_trade_return too low: 2.7921212654703667e-05 < 8e-05;turnover_per_day too high: 1.1011035295774472 > 1.0;cost_stress_failed sharpe=-0.2693306064260153
ALSN,FAIL,raw/Stock_parquet/ALSN_1H.parquet,sortino too low: 0.8561851325575212 < 1.0;profit_factor too low: 1.0855433570173951 < 1.1;net_to_gross too low: 0.42884874573946996 < 0.6;avg_net_trade_return too low: 3.25955610929753e-05 < 8e-05;turnover_per_day too high: 1.6811707121178276 > 1.0;cost_stress_failed sharpe=-0.31001188926650464
ALTG_A,PASS,raw/Stock_parquet/ALTG_A_1H.parquet,
AMCR,PASS,raw/Stock_parquet/AMCR_1H.parquet,
AME,PASS,raw/Stock_parquet/AME_1H.parquet,
AMH,FAIL,raw/Stock_parquet/AMH_1H.parquet,sharpe too low: 0.6664787857543378 < 0.7;sortino too low: 0.492906050935687 < 1.0;profit_factor too low: 1.0587547585865933 < 1.1;net_to_gross too low: 0.35004976160360923 < 0.6;avg_net_trade_return too low: 2.1457670592094327e-05 < 8e-05;turnover_per_day too high: 1.679084031431181 > 1.0;cost_stress_failed sharpe=-0.5706145071121544
AMH_G,FAIL,raw/Stock_parquet/AMH_G_1H.parquet,turnover_per_day too high: 1.4748929195378078 > 1.0
AMH_H,FAIL,raw/Stock_parquet/AMH_H_1H.parquet,net_to_gross too low: 0.5939563477121564 < 0.6;avg_net_trade_return too low: 7.716975158696613e-05 < 8e-05;turnover_per_day too high: 2.507664616192191 > 1.0
AMSF,FAIL,raw/Stock_parquet/AMSF_1H.parquet,avg_net_trade_return too low: 4.8232139797996335e-05 < 8e-05
AMT,FAIL,raw/Stock_parquet/AMT_1H.parquet,turnover_per_day too high: 1.561232229922751 > 1.0
AMTM,FAIL,raw/Stock_parquet/AMTM_1H.parquet,avg_net_trade_return too low: 5.8854974191073286e-05 < 8e-05
ANET,PASS,raw/Stock_parquet/ANET_1H.parquet,
ANG_B,FAIL,raw/Stock_parquet/ANG_B_1H.parquet,sharpe too low: -0.7151650002201357 < 0.7;sortino too low: -0.8406291787361909 < 1.0;profit_factor too low: 0.921799361620069 < 1.1;net_to_gross too low: -0.3561906610149076 < 0.6;avg_net_trade_return too low: -3.5004976525816385e-05 < 8e-05;turnover_per_day too high: 7.97232751458384 > 1.0;cost_stress_failed sharpe=-3.410832256874631
ANSC,FAIL,raw/Stock_parquet/ANSC_1H.parquet,net_to_gross too low: 0.5854763922482653 < 0.6;turnover_per_day too high: 5.044727426880279 > 1.0
AOMN,FAIL,raw/Stock_parquet/AOMN_1H.parquet,net_to_gross too low: 0.5050023004484503 < 0.6;turnover_per_day too high: 5.1525534573179765 > 1.0;cost_stress_failed sharpe=0.05477275981619773
APACU,FAIL,raw/Stock_parquet/APACU_1H.parquet,
APG,FAIL,raw/Stock_parquet/APG_1H.parquet,turnover_per_day too high: 1.0895071490769135 > 1.0
APGE,FAIL,raw/Stock_parquet/APGE_1H.parquet,avg_net_trade_return too low: 7.551572731192389e-05 < 8e-05
