iter	Passed	Remaining
907	6883	697
908	6889	689
909	6898	682
910	6904	674
911	6913	667
912	6919	659
913	6925	651
914	6934	644
915	6943	636
916	6950	629
917	6957	621
918	6962	613
919	6968	605
920	6974	598
921	6983	590
922	6990	583
923	6995	575
924	7001	567
925	7006	559
926	7016	552
927	7022	544
928	7028	537
929	7034	529
930	7039	521
931	7045	514
932	7052	506
933	7058	498
934	7063	491
935	7068	483
936	7074	475
937	7082	468
938	7088	460
939	7093	452
940	7099	445
941	7104	437
942	7109	429
943	7115	422
944	7122	414
945	7128	406
946	7134	399
947	7142	391
948	7147	384
949	7153	376
950	7160	368
951	7165	361
952	7171	353
953	7177	346
954	7184	338
955	7190	330
956	7198	323
957	7206	315
958	7221	308
959	7232	301
960	7239	293
961	7244	286
962	7250	278
963	7257	271
964	7262	263
965	7268	255
966	7274	248
967	7279	240
968	7285	233
969	7290	225
970	7295	217
971	7303	210
972	7309	202
973	7316	195
974	7324	187
975	7336	180
976	7343	172
977	7354	165
978	7367	158
979	7372	150
980	7377	142
981	7385	135
982	7396	127
983	7405	120
984	7412	112
985	7419	105
986	7428	97
987	7439	90
988	7451	82
989	7461	75
990	7476	67
991	7488	60
992	7505	52
993	7512	45
994	7520	37
995	7528	30
996	7543	22
997	7552	15
998	7559	7
999	7565	0
